CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
0.2823605 -4.70006 -1.950354 -4.762485 0.1242635 -2.88678 1.009486 -0.6316323 5.531658 2.772938 4.144006 1.284714 7.444467 5.44278 7.993543 -14.02806
0.110292 -4.730033 -2.08457 -4.636413 -0.04414919 -2.651866 0.9839832 0.02719043 5.540276 2.924252 4.274083 1.634923 7.671543 5.634173 8.208176 -12.02405
-0.02982042 -4.764186 -2.223466 -4.499022 -0.1699097 -2.442824 0.9607801 0.7355468 5.636066 3.108044 4.388557 1.977143 7.883001 5.802673 8.456203 -10.02004
-0.1917179 -4.746361 -2.391698 -4.374584 -0.2434848 -2.333242 0.9048613 1.342588 5.754801 3.343859 4.501903 2.20643 8.091822 5.953138 8.673432 -8.016032
-0.3598177 -4.659192 -2.508297 -4.225533 -0.2581323 -2.220301 0.8833565 1.833582 5.930529 3.67104 4.646201 2.390058 8.245981 6.086093 8.781375 -6.012024
-0.5235339 -4.506833 -2.585752 -3.992986 -0.2429343 -2.109694 0.9382573 2.217871 6.093772 4.074914 4.756052 2.565973 8.381104 6.320493 8.910368 -4.008016
-0.6541488 -4.378236 -2.614403 -3.824249 -0.2196253 -1.926172 1.101824 2.61448 6.21715 4.481577 4.80102 2.869655 8.479806 6.578386 9.093424 -2.004008
-0.7242493 -4.310881 -2.591466 -3.737278 -0.1645467 -1.741103 1.307745 2.904916 6.310833 4.862865 4.786471 3.197004 8.507048 6.843772 9.231735 0
-0.7345427 -4.33149 -2.587149 -3.646846 -0.116261 -1.600412 1.440346 3.03037 6.322136 5.161194 4.727147 3.459471 8.4747 7.0386 9.244071 2.004008
-0.703675 -4.371512 -2.660655 -3.634779 -0.1398317 -1.402652 1.529699 3.197875 6.435478 5.424483 4.686533 3.741165 8.420625 7.166959 9.267794 4.008016
-0.6821757 -4.45677 -2.825705 -3.665891 -0.2565168 -1.277453 1.59928 3.335011 6.586011 5.821299 4.713356 3.913366 8.447022 7.395149 9.388077 6.012024
-0.7089851 -4.537479 -2.977367 -3.691225 -0.383726 -1.036659 1.782116 3.665892 6.760813 6.243295 4.795587 4.225529 8.472825 7.661982 9.57477 8.016032
-0.8227088 -4.593533 -3.10241 -3.793075 -0.5711423 -0.8291363 1.972182 3.972809 6.836934 6.740356 4.849181 4.547673 8.51777 8.072769 9.768221 10.02004
-1.06705 -4.581662 -3.280241 -3.756549 -0.8140091 -0.5487946 2.148596 4.27158 6.861516 7.297523 4.915002 4.977119 8.55491 8.555673 9.96185 12.02405
-1.41951 -4.515113 -3.511538 -3.620873 -1.059155 -0.262098 2.316617 4.490084 6.940512 7.878483 5.07454 5.406422 8.713227 9.127315 10.25476 14.02806
-1.779061 -4.455914 -3.725879 -3.476658 -1.236464 0.0390983 2.498653 4.729419 7.083031 8.35678 5.338306 5.829721 9.020933 9.655349 10.64171 16.03206
-2.061648 -4.429618 -3.865597 -3.389934 -1.298583 0.2893022 2.782522 4.990958 7.298886 8.832573 5.689639 6.184023 9.400395 10.14701 11.13436 18.03607
-2.285632 -4.441897 -4.018629 -3.448697 -1.314613 0.5005277 3.111905 5.330548 7.485935 9.295935 5.989165 6.54109 9.761026 10.57406 11.67284 20.04008
-2.49151 -4.445602 -4.183646 -3.543894 -1.306662 0.6798438 3.545433 5.784557 7.713493 9.764453 6.254206 6.934478 10.12395 11.06072 12.27479 22.04409
-2.702294 -4.459002 -4.390076 -3.736662 -1.293598 0.8514717 4.015512 6.328498 7.892447 10.13585 6.485373 7.388589 10.47845 11.52797 12.82267 24.0481
-2.879977 -4.479325 -4.605907 -3.917286 -1.247875 0.9612263 4.500433 6.77691 8.032495 10.48106 6.754372 7.75961 10.87167 12.03352 13.27957 26.0521
-2.957159 -4.517626 -4.761149 -4.067779 -1.103871 1.133758 4.943648 7.154855 8.243456 10.74095 7.122091 8.108733 11.26178 12.43286 13.66014 28.05611
-2.935777 -4.618121 -4.896338 -4.046899 -0.8966675 1.310576 5.267904 7.449903 8.523122 10.98155 7.55258 8.410216 11.64212 12.77255 14.01922 30.06012
-2.851076 -4.684198 -5.032438 -3.893893 -0.671726 1.61833 5.513417 7.918765 8.853211 11.3034 7.995234 8.854812 11.98899 13.15754 14.41183 32.06413
-2.799195 -4.688746 -5.156761 -3.758169 -0.5293863 1.977832 5.689971 8.531768 9.155 11.70959 8.331701 9.372987 12.3179 13.66854 14.89171 34.06814
-2.822645 -4.57051 -5.219657 -3.4081 -0.3513274 2.432664 5.957999 9.223531 9.477069 12.22558 8.693788 9.952021 12.58315 14.26295 15.36071 36.07214
-2.86463 -4.410631 -5.225474 -3.05075 -0.08928284 2.904032 6.364971 9.843061 9.847098 12.88929 9.127082 10.50767 12.88824 14.95705 15.8537 38.07615
-2.85639 -4.28608 -5.152538 -2.716151 0.2656922 3.431643 6.874249 10.39892 10.23994 13.48447 9.64247 11.09815 13.29785 15.57952 16.33071 40.08016
-2.812669 -4.147697 -4.969717 -2.343397 0.7534926 3.938122 7.503334 10.84824 10.80527 14.24594 10.22431 11.68723 13.80657 16.3699 16.87094 42.08417
-2.847289 -4.041042 -4.811913 -2.04417 1.278523 4.524019 8.09964 11.37716 11.38269 14.9774 10.81931 12.4117 14.47514 17.20392 17.53024 44.08818
-2.942704 -3.94957 -4.701576 -1.77434 1.891951 5.097588 8.715941 11.90918 12.03966 15.86208 11.57309 13.19306 15.29987 18.23906 18.31019 46.09219
-3.043334 -3.916263 -4.593579 -1.60524 2.570718 5.658694 9.380657 12.42449 12.73425 16.89582 12.52997 14.03566 16.22164 19.37336 19.04461 48.09619
-3.166515 -3.898095 -4.494826 -1.45235 3.277277 6.202651 10.20588 13.0434 13.44122 18.09546 13.65051 14.9666 17.21171 20.62449 19.67073 50.1002
-3.323528 -3.882648 -4.383698 -1.374385 3.96711 6.750127 11.20346 13.80724 14.13581 19.40312 14.83842 16.00786 18.28946 21.99441 20.2233 52.10421
-3.501251 -3.885838 -4.296547 -1.234406 4.62535 7.454786 12.37333 14.81294 14.85058 20.71638 16.09728 17.31631 19.48851 23.4269 20.76297 54.10822
