PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
17.55043 3.193779 2.073759 -3.008708 -11.65987 -4.171484 7.980587 -1.536942 18.52276 3.216035 120.2405 108.2164 108.2164 108.2164 108.2164 108.2164 124.2485 124.2485 124.2485 114.8965 2 1 52
-1.073504 -1.815375 1.5434 -4.937021 0.1246963 -5.848333 7.613336 1.102956 11.06862 0.8643078 108.2164 108.2164 124.2485 124.2485 108.2164 108.2164 122.2445 108.2164 124.2485 115.1191 2 1 59
20.5675 -12.21983 -3.583709 0.9343926 -1.686385 14.38914 6.167038 -0.6990117 -2.519843 2.372143 108.2164 124.2485 110.2204 112.2244 124.2485 124.2485 116.2325 124.2485 118.2365 118.0138 2 1 62
13.80844 -1.001699 3.313143 6.716192 -5.988791 11.91526 -1.280638 -4.519333 -7.62989 1.703631 108.2164 108.2164 108.2164 108.2164 116.2325 108.2164 120.2405 108.2164 124.2485 112.2244 2 1 65
-2.194247 -10.01477 -10.96581 -3.989564 1.096748 6.42076 8.852954 4.157159 5.984049 -0.07252418 112.2244 124.2485 124.2485 124.2485 110.2204 122.2445 110.2204 110.2204 108.2164 116.2325 2 1 69
21.25185 5.742205 15.95077 25.35058 -10.10394 0.3978679 -3.134537 -7.216436 -8.600831 4.404171 110.2204 108.2164 108.2164 110.2204 108.2164 112.2244 110.2204 118.2365 124.2485 112.2244 2 1 72
-9.421085 6.542868 9.702791 15.194 -9.111559 6.984498 -24.58183 -9.78075 -18.81818 -3.698806 108.2164 124.2485 120.2405 120.2405 108.2164 116.2325 108.2164 120.2405 108.2164 114.8965 2 1 73
15.68661 6.423772 11.88177 20.20743 6.344172 33.8435 6.950125 10.85911 13.4423 13.95987 114.2285 116.2325 116.2325 116.2325 122.2445 114.2285 124.2485 108.2164 110.2204 115.7871 2 1 79
-15.39543 -11.18425 -14.1868 -9.001764 8.139735 1.652048 -16.33423 15.09429 3.21153 -4.222764 122.2445 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 109.7751 2 1 81
13.58315 1.037086 -1.598158 10.42998 29.81861 31.44104 23.61148 33.80756 7.756222 16.65411 124.2485 108.2164 124.2485 124.2485 108.2164 114.2285 124.2485 108.2164 124.2485 117.7911 2 1 82
