PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
4.569336 13.00334 14.31528 19.2375 6.269382 19.18996 4.699898 17.85526 0.7680433 11.10089 3 1 104
10.03279 7.756342 1.028514 13.15377 7.753759 10.37253 29.51411 2.475286 14.16448 10.69462 3 1 109
14.40452 -8.73764 -7.038313 -10.99795 16.46287 19.92868 25.40171 10.69437 -4.673479 6.16053 3 1 111
16.26351 -11.79968 3.87602 12.12869 -3.27421 7.476509 8.558174 -13.87598 -7.445748 1.323032 3 1 117
30.49253 7.273817 11.47767 13.51406 19.42531 11.68485 43.72687 17.85828 37.0213 21.38608 3 1 119
-2.101187 -21.26575 -14.22139 -13.56674 11.48865 6.752129 14.40466 2.448261 -17.0285 -3.676651 3 1 123
33.65832 -20.09751 12.96197 13.19471 30.39301 21.34892 39.07632 18.84415 13.38152 18.0846 3 1 125
0.9720547 15.40575 1.089114 7.343413 11.87819 3.409428 10.65587 11.26023 28.25873 10.03031 3 1 128
9.338644 5.265983 9.35464 16.35229 15.15474 27.68904 3.595706 10.09495 -8.346545 9.833271 3 1 132
20.58057 -3.451408 16.26266 15.8272 17.44068 -13.73145 34.44543 6.73186 11.68838 11.75488 3 1 135
2.838307 0.1846371 -10.04741 -6.410813 6.496507 2.951524 -8.397593 8.706733 -11.73319 -1.712366 3 1 137
-2.241055 -5.841101 -5.337532 -7.63391 2.838174 -7.023321 0.9201177 8.513564 10.51717 -0.5875437 3 1 138
17.76975 18.98267 -1.897737 21.82282 10.8476 21.34377 10.44833 12.50744 1.833153 12.62864 3 1 142
-9.573586 -13.74618 -18.59579 -23.13133 8.503284 19.17264 6.49906 12.9718 14.52173 -0.375375 3 1 147
16.70347 2.70932 8.898642 19.0336 10.35668 7.202761 18.98071 1.214807 9.937545 10.55973 3 1 151
-18.50704 -20.37643 -12.52191 -20.78037 18.85354 -8.656711 31.60143 19.65293 24.86762 1.570341 3 1 153
44.98643 2.83095 13.65449 22.77444 17.83704 30.04036 32.58746 10.41113 13.37153 20.94376 3 1 158
10.07263 -6.203491 0.1999866 14.68838 0.6862289 -2.698936 12.48605 3.674527 12.6705 5.063987 3 1 160
-9.130857 -7.919695 -1.189946 -4.779513 7.638132 -17.0015 0.5843828 0.2601851 6.154872 -2.820437 3 1 163
-12.30099 -8.054584 -12.83538 -22.9583 -22.44326 3.602781 -25.1876 -30.92801 -41.46564 -19.17455 3 1 166
9.378233 11.32613 6.815206 4.735322 6.078447 6.539 6.381435 -0.6121155 -0.9041457 5.52639 3 1 169
41.36448 10.8908 14.31045 35.88058 14.26654 21.6455 36.06733 7.057415 19.42072 22.32265 3 1 175
18.84492 -9.824129 12.78608 7.987109 -2.310678 6.760559 12.12409 -14.46366 1.079528 3.664869 3 1 177
9.097067 0.03097164 1.818644 22.1113 1.865282 12.02724 2.979743 7.490986 -7.750916 5.518925 3 1 179
-2.397975 -17.84604 -18.93717 -6.673669 4.180831 -1.234529 18.13218 8.997463 18.15888 0.2644429 3 1 181
12.48765 -10.55113 9.489568 -0.6554925 0.4958054 -1.027119 11.62269 -4.754605 1.145817 2.028131 3 1 185
12.32996 -23.40355 -7.67152 -4.966926 23.48167 -4.26032 55.04104 12.96363 27.01474 10.05875 3 1 190
11.25975 -18.18441 -4.133741 -5.164832 -3.565996 0.8252047 12.16518 5.586776 12.63241 1.268926 3 1 194
6.036882 -14.97315 -12.44496 -0.377323 -5.243326 0.2232052 -1.642818 -5.374207 3.017323 -3.419819 3 1 199
-25.79731 -10.13865 -23.70041 -31.34133 -12.01485 -2.254034 -21.81647 -10.03362 -9.328834 -16.2695 3 1 202
7.232679 -11.95813 -12.42851 0.2069864 -3.83963 2.073774 24.38084 -7.678732 2.599945 0.06546823 3 1 205
7.999525 2.50945 19.54283 -3.012019 1.290405 -28.65946 35.44978 -1.922239 35.30115 7.611047 3 1 206
26.92507 3.57089 5.376868 4.594057 41.01892 17.37852 42.37349 9.695748 4.295213 17.24764 4 1 3
-21.90042 9.324538 -12.07482 -20.12095 -42.61063 -9.534658 -53.49655 -37.11459 -40.37379 -25.32243 4 1 13
48.65981 10.91941 28.58585 55.6213 11.71788 38.81832 23.7119 18.9432 -29.28968 23.07644 4 1 18
