P8_amp TP8_amp CP6_amp ROI_GA_amp P8_lat TP8_lat CP6_lat ROI_GA_lat emotion ID Trial hem
-4.093065 -2.810304 9.883119 0.9932501 192.3848 192.3848 206.4128 197.0608 1 2 52 2
6.093655 8.843587 -1.092126 4.615038 206.4128 206.4128 206.4128 206.4128 1 2 53 2
31.46025 7.314817 23.12809 20.63439 190.3808 194.3888 190.3808 191.7168 1 2 57 2
-16.31963 -14.54811 -11.51243 -14.12672 202.4048 200.4008 200.4008 201.0688 1 2 60 2
8.184594 -20.69523 -8.81108 -7.107239 190.3808 190.3808 192.3848 191.0488 1 2 65 2
14.71692 -10.93435 12.86098 5.547848 196.3928 196.3928 194.3888 195.7248 1 2 67 2
-5.994692 -12.8895 -0.6326263 -6.505605 190.3808 190.3808 190.3808 190.3808 1 2 70 2
-3.357123 -14.1411 -10.91475 -9.47099 206.4128 198.3968 198.3968 201.0688 1 2 73 2
16.26484 17.04118 7.049701 13.45191 192.3848 190.3808 190.3808 191.0488 1 2 75 2
4.06368 3.988269 3.975821 4.009257 206.4128 206.4128 206.4128 206.4128 1 2 79 2
-3.585854 15.71309 -0.5278819 3.866451 190.3808 190.3808 190.3808 190.3808 1 2 83 2
-2.574693 4.981397 3.230934 1.879213 194.3888 190.3808 194.3888 193.0528 1 2 84 2
20.36943 -20.67632 -18.18084 -6.162579 190.3808 204.4088 190.3808 195.0568 1 2 86 2
23.1226 17.00218 42.25296 27.45925 190.3808 190.3808 190.3808 190.3808 1 2 91 2
38.46566 15.2043 48.37381 34.01459 206.4128 196.3928 206.4128 203.0728 1 2 93 2
17.77633 -1.283221 36.03695 17.51002 206.4128 206.4128 206.4128 206.4128 1 2 95 2
5.559713 -12.35246 7.493946 0.2337325 206.4128 206.4128 190.3808 201.0688 1 2 100 2
3.54748 6.907941 -5.672694 1.594242 200.4008 202.4048 204.4088 202.4048 1 2 104 2
18.64605 36.68755 35.47949 30.27103 190.3808 190.3808 190.3808 190.3808 1 2 106 2
10.62508 24.24263 -10.25091 8.205601 194.3888 192.3848 196.3928 194.3888 1 2 110 2
20.78732 -3.919173 26.78454 14.55089 190.3808 194.3888 190.3808 191.7168 1 2 111 2
-3.934183 5.063777 13.59597 4.908521 190.3808 198.3968 206.4128 198.3968 1 2 116 2
29.1643 -7.528068 14.78052 12.13892 190.3808 190.3808 190.3808 190.3808 1 2 118 2
8.124475 13.51467 -2.862843 6.258766 206.4128 206.4128 206.4128 206.4128 1 2 120 2
0.7367541 3.150767 -11.97094 -2.694474 206.4128 206.4128 190.3808 201.0688 1 2 128 2
